Title,SentencesCount,Category1,Category2,Category3,Link,EnTitle,EnCat1,EnCat2,EnCat3,EnLink
واکنش شیمیایی,15,شیمی,,,https://fa.wikipedia.org/wiki/%D9%88%D8%A7%DA%A9%D9%86%D8%B4_%D8%B4%DB%8C%D9%85%DB%8C%D8%A7%DB%8C%DB%8C,Chemical reaction,Chemistry,,,https://en.wikipedia.org/wiki/Chemical_reaction
بافت (مواد),26,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D9%81%D8%AA_(%D9%85%D9%88%D8%A7%D8%AF),Texture (chemistry),Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Texture_(chemistry)
بلورش,25,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%D8%A8%D9%84%D9%88%D8%B1%D8%B4,Crystallization,Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Crystallization
دوقلویی کریستال,20,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D9%82%D9%84%D9%88%DB%8C%DB%8C_%DA%A9%D8%B1%DB%8C%D8%B3%D8%AA%D8%A7%D9%84,Crystal twinning,Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Crystal_twinning
ساختار بلوری,21,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D8%AE%D8%AA%D8%A7%D8%B1_%D8%A8%D9%84%D9%88%D8%B1%DB%8C,Crystal structure,Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Crystal_structure
سیما (گوهرسنگ‌ها),16,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D9%85%D8%A7_(%DA%AF%D9%88%D9%87%D8%B1%D8%B3%D9%86%DA%AF%E2%80%8C%D9%87%D8%A7),Facet,Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Facet
شبکه کریستالی هگزاگونال فشرده,19,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%D8%B4%D8%A8%DA%A9%D9%87_%DA%A9%D8%B1%DB%8C%D8%B3%D8%AA%D8%A7%D9%84%DB%8C_%D9%87%DA%AF%D8%B2%D8%A7%DA%AF%D9%88%D9%86%D8%A7%D9%84_%D9%81%D8%B4%D8%B1%D8%AF%D9%87,Close-packing of equal spheres,Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Close-packing_of_equal_spheres
کریستالیت,15,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%DB%8C%D8%B3%D8%AA%D8%A7%D9%84%DB%8C%D8%AA,Crystallite,Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Crystallite
کوکریستال,29,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%DA%A9%D9%88%DA%A9%D8%B1%DB%8C%D8%B3%D8%AA%D8%A7%D9%84,Cocrystal,Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Cocrystal
مرز دانه,15,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%B2_%D8%AF%D8%A7%D9%86%D9%87,Grain boundary,Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Grain_boundary
ناکاملی بلوری,21,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%D9%86%D8%A7%DA%A9%D8%A7%D9%85%D9%84%DB%8C_%D8%A8%D9%84%D9%88%D8%B1%DB%8C,Crystallographic defect,Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Crystallographic_defect
نماد هرمان-موگن,17,شیمی,بلورشناسی,,https://fa.wikipedia.org/wiki/%D9%86%D9%85%D8%A7%D8%AF_%D9%87%D8%B1%D9%85%D8%A7%D9%86-%D9%85%D9%88%DA%AF%D9%86,Hermann%E2%80%93Mauguin notation,Chemistry,Crystallography,,https://en.wikipedia.org/wiki/Hermann%E2%80%93Mauguin_notation
دست‌سانی (شیمی),38,شیمی,بیوشیمی,,https://fa.wikipedia.org/wiki/%D8%AF%D8%B3%D8%AA%E2%80%8C%D8%B3%D8%A7%D9%86%DB%8C_(%D8%B4%DB%8C%D9%85%DB%8C),Chirality (chemistry),Chemistry,Biochemistry,,https://en.wikipedia.org/wiki/Chirality_(chemistry)
قندکافت,15,شیمی,بیوشیمی,,https://fa.wikipedia.org/wiki/%D9%82%D9%86%D8%AF%DA%A9%D8%A7%D9%81%D8%AA,Glycolysis,Chemistry,Biochemistry,,https://en.wikipedia.org/wiki/Glycolysis
کربوهیدرات,23,شیمی,بیوشیمی,,https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%D8%A8%D9%88%D9%87%DB%8C%D8%AF%D8%B1%D8%A7%D8%AA,Carbohydrate,Chemistry,Biochemistry,,https://en.wikipedia.org/wiki/Carbohydrate
اصل طرد پاولی,17,شیمی,پیوندهای شیمیایی,,https://fa.wikipedia.org/wiki/%D8%A7%D8%B5%D9%84_%D8%B7%D8%B1%D8%AF_%D9%BE%D8%A7%D9%88%D9%84%DB%8C,Pauli exclusion principle,Chemistry,Chemical bonding,,https://en.wikipedia.org/wiki/Pauli_exclusion_principle
اوربیتال اتمی,17,شیمی,پیوندهای شیمیایی,,https://fa.wikipedia.org/wiki/%D8%A7%D9%88%D8%B1%D8%A8%DB%8C%D8%AA%D8%A7%D9%84_%D8%A7%D8%AA%D9%85%DB%8C,Atomic orbital,Chemistry,Chemical bonding,,https://en.wikipedia.org/wiki/Atomic_orbital
پیوند یونی,17,شیمی,پیوندهای شیمیایی,,https://fa.wikipedia.org/wiki/%D9%BE%DB%8C%D9%88%D9%86%D8%AF_%DB%8C%D9%88%D9%86%DB%8C,Ionic bonding,Chemistry,Chemical bonding,,https://en.wikipedia.org/wiki/Ionic_bonding
خصلت آروماتیکی,30,شیمی,پیوندهای شیمیایی,,https://fa.wikipedia.org/wiki/%D8%AE%D8%B5%D9%84%D8%AA_%D8%A2%D8%B1%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9%DB%8C,Aromaticity,Chemistry,Chemical bonding,,https://en.wikipedia.org/wiki/Aromaticity
انرژی از زباله,17,شیمی,مهندسی شیمی,گازهای صنعتی,https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%B1%DA%98%DB%8C_%D8%A7%D8%B2_%D8%B2%D8%A8%D8%A7%D9%84%D9%87,Waste-to-energy,Chemistry,Chemical engineering,Industrial gases,https://en.wikipedia.org/wiki/Waste-to-energy
برشکاری اکسیژنی,32,شیمی,مهندسی شیمی,گازهای صنعتی,https://fa.wikipedia.org/wiki/%D8%A8%D8%B1%D8%B4%DA%A9%D8%A7%D8%B1%DB%8C_%D8%A7%DA%A9%D8%B3%DB%8C%DA%98%D9%86%DB%8C,Oxy-fuel welding and cutting,Chemistry,Chemical engineering,Industrial gases,https://en.wikipedia.org/wiki/Oxy-fuel_welding_and_cutting
تبخیر شدگی زغال سنگ,49,شیمی,مهندسی شیمی,گازهای صنعتی,https://fa.wikipedia.org/wiki/%D8%AA%D8%A8%D8%AE%DB%8C%D8%B1_%D8%B4%D8%AF%DA%AF%DB%8C_%D8%B2%D8%BA%D8%A7%D9%84_%D8%B3%D9%86%DA%AF,Coal gasification,Chemistry,Chemical engineering,Industrial gases,https://en.wikipedia.org/wiki/Coal_gasification
ذخیره‌سازی هیدروژن,26,شیمی,مهندسی شیمی,گازهای صنعتی,https://fa.wikipedia.org/wiki/%D8%B0%D8%AE%DB%8C%D8%B1%D9%87%E2%80%8C%D8%B3%D8%A7%D8%B2%DB%8C_%D9%87%DB%8C%D8%AF%D8%B1%D9%88%DA%98%D9%86,Hydrogen storage,Chemistry,Chemical engineering,Industrial gases,https://en.wikipedia.org/wiki/Hydrogen_storage
کارل ویلهلم شیله,23,شیمی,مهندسی شیمی,گازهای صنعتی,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B1%D9%84_%D9%88%DB%8C%D9%84%D9%87%D9%84%D9%85_%D8%B4%DB%8C%D9%84%D9%87,Carl Wilhelm Scheele,Chemistry,Chemical engineering,Industrial gases,https://en.wikipedia.org/wiki/Carl_Wilhelm_Scheele
کمپرسور,39,شیمی,مهندسی شیمی,گازهای صنعتی,https://fa.wikipedia.org/wiki/%DA%A9%D9%85%D9%BE%D8%B1%D8%B3%D9%88%D8%B1,Compressor,Chemistry,Chemical engineering,Industrial gases,https://en.wikipedia.org/wiki/Compressor
پلیمریزاسیون پلاسما,17,شیمی,مهندسی شیمی,فرایندهای شیمیایی,https://fa.wikipedia.org/wiki/%D9%BE%D9%84%DB%8C%D9%85%D8%B1%DB%8C%D8%B2%D8%A7%D8%B3%DB%8C%D9%88%D9%86_%D9%BE%D9%84%D8%A7%D8%B3%D9%85%D8%A7,Plasma polymerization,Chemistry,Chemical engineering,Chemical processes,https://en.wikipedia.org/wiki/Plasma_polymerization
تهویه مطبوع خورشیدی,18,شیمی,مهندسی شیمی,فرایندهای شیمیایی,https://fa.wikipedia.org/wiki/%D8%AA%D9%87%D9%88%DB%8C%D9%87_%D9%85%D8%B7%D8%A8%D9%88%D8%B9_%D8%AE%D9%88%D8%B1%D8%B4%DB%8C%D8%AF%DB%8C,Solar air conditioning,Chemistry,Chemical engineering,Chemical processes,https://en.wikipedia.org/wiki/Solar_air_conditioning
حفاظت کاتدی,15,شیمی,مهندسی شیمی,فرایندهای شیمیایی,https://fa.wikipedia.org/wiki/%D8%AD%D9%81%D8%A7%D8%B8%D8%AA_%DA%A9%D8%A7%D8%AA%D8%AF%DB%8C,Cathodic protection,Chemistry,Chemical engineering,Chemical processes,https://en.wikipedia.org/wiki/Cathodic_protection
شیرین‌سازی گاز,20,شیمی,مهندسی شیمی,فرایندهای شیمیایی,https://fa.wikipedia.org/wiki/%D8%B4%DB%8C%D8%B1%DB%8C%D9%86%E2%80%8C%D8%B3%D8%A7%D8%B2%DB%8C_%DA%AF%D8%A7%D8%B2,Amine gas treating,Chemistry,Chemical engineering,Chemical processes,https://en.wikipedia.org/wiki/Amine_gas_treating
فرایند اف‌اف‌سی کمبریج,17,شیمی,مهندسی شیمی,فرایندهای شیمیایی,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%DB%8C%D9%86%D8%AF_%D8%A7%D9%81%E2%80%8C%D8%A7%D9%81%E2%80%8C%D8%B3%DB%8C_%DA%A9%D9%85%D8%A8%D8%B1%DB%8C%D8%AC,FFC Cambridge process,Chemistry,Chemical engineering,Chemical processes,https://en.wikipedia.org/wiki/FFC_Cambridge_process
فرایند هال–هرولت,23,شیمی,مهندسی شیمی,فرایندهای شیمیایی,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%DB%8C%D9%86%D8%AF_%D9%87%D8%A7%D9%84%E2%80%93%D9%87%D8%B1%D9%88%D9%84%D8%AA,Hall%E2%80%93H%C3%A9roult process,Chemistry,Chemical engineering,Chemical processes,https://en.wikipedia.org/wiki/Hall%E2%80%93H%C3%A9roult_process
کراکینگ,18,شیمی,مهندسی شیمی,فرایندهای شیمیایی,https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%D8%A7%DA%A9%DB%8C%D9%86%DA%AF,Cracking (chemistry),Chemistry,Chemical engineering,Chemical processes,https://en.wikipedia.org/wiki/Cracking_(chemistry)
کراکینگ کاتالیزوری سیال بستر,38,شیمی,مهندسی شیمی,فرایندهای شیمیایی,https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%D8%A7%DA%A9%DB%8C%D9%86%DA%AF_%DA%A9%D8%A7%D8%AA%D8%A7%D9%84%DB%8C%D8%B2%D9%88%D8%B1%DB%8C_%D8%B3%DB%8C%D8%A7%D9%84_%D8%A8%D8%B3%D8%AA%D8%B1,Fluid catalytic cracking,Chemistry,Chemical engineering,Chemical processes,https://en.wikipedia.org/wiki/Fluid_catalytic_cracking
هیدروژنه کردن,15,شیمی,مهندسی شیمی,فرایندهای شیمیایی,https://fa.wikipedia.org/wiki/%D9%87%DB%8C%D8%AF%D8%B1%D9%88%DA%98%D9%86%D9%87_%DA%A9%D8%B1%D8%AF%D9%86,Hydrogenation,Chemistry,Chemical engineering,Chemical processes,https://en.wikipedia.org/wiki/Hydrogenation
هیدروژن پراکسید,20,شیمی,مواد شیمیایی,اکسیدکننده‌ها,https://fa.wikipedia.org/wiki/%D9%87%DB%8C%D8%AF%D8%B1%D9%88%DA%98%D9%86_%D9%BE%D8%B1%D8%A7%DA%A9%D8%B3%DB%8C%D8%AF,Hydrogen peroxide,Chemistry,Chemical substances,Oxidizing agents,https://en.wikipedia.org/wiki/Hydrogen_peroxide
تیتانیم,33,شیمی,مواد شیمیایی,عناصر شیمیایی,https://fa.wikipedia.org/wiki/%D8%AA%DB%8C%D8%AA%D8%A7%D9%86%DB%8C%D9%85,Titanium,Chemistry,Chemical substances,Chemical elements,https://en.wikipedia.org/wiki/Titanium
طلا,46,شیمی,مواد شیمیایی,عناصر شیمیایی,https://fa.wikipedia.org/wiki/%D8%B7%D9%84%D8%A7,Gold,Chemistry,Chemical substances,Chemical elements,https://en.wikipedia.org/wiki/Gold
فسفر,17,شیمی,مواد شیمیایی,عناصر شیمیایی,https://fa.wikipedia.org/wiki/%D9%81%D8%B3%D9%81%D8%B1,Phosphorus,Chemistry,Chemical substances,Chemical elements,https://en.wikipedia.org/wiki/Phosphorus
گوگرد,36,شیمی,مواد شیمیایی,عناصر شیمیایی,https://fa.wikipedia.org/wiki/%DA%AF%D9%88%DA%AF%D8%B1%D8%AF,Sulfur,Chemistry,Chemical substances,Chemical elements,https://en.wikipedia.org/wiki/Sulfur
منیزیم,77,شیمی,مواد شیمیایی,عناصر شیمیایی,https://fa.wikipedia.org/wiki/%D9%85%D9%86%DB%8C%D8%B2%DB%8C%D9%85,Magnesium,Chemistry,Chemical substances,Chemical elements,https://en.wikipedia.org/wiki/Magnesium
وانادیم,17,شیمی,مواد شیمیایی,عناصر شیمیایی,https://fa.wikipedia.org/wiki/%D9%88%D8%A7%D9%86%D8%A7%D8%AF%DB%8C%D9%85,Vanadium,Chemistry,Chemical substances,Chemical elements,https://en.wikipedia.org/wiki/Vanadium
پلی‌وینیل نیترات,16,شیمی,مواد شیمیایی,مواد شیمیایی منفجر شونده,https://fa.wikipedia.org/wiki/%D9%BE%D9%84%DB%8C%E2%80%8C%D9%88%DB%8C%D9%86%DB%8C%D9%84_%D9%86%DB%8C%D8%AA%D8%B1%D8%A7%D8%AA,Polyvinyl nitrate,Chemistry,Chemical substances,Explosive chemicals,https://en.wikipedia.org/wiki/Polyvinyl_nitrate
فیزیک,21,فیزیک,,,https://fa.wikipedia.org/wiki/%D9%81%DB%8C%D8%B2%DB%8C%DA%A9,Physics,Physics,,,https://en.wikipedia.org/wiki/Physics
تداخل‌سنج مارتین-پاپلت,36,فیزیک,,,https://fa.wikipedia.org/wiki/%D8%AA%D8%AF%D8%A7%D8%AE%D9%84%E2%80%8C%D8%B3%D9%86%D8%AC_%D9%85%D8%A7%D8%B1%D8%AA%DB%8C%D9%86-%D9%BE%D8%A7%D9%BE%D9%84%D8%AA,Martin%E2%80%93Puplett interferometer,Physics,,,https://en.wikipedia.org/wiki/Martin%E2%80%93Puplett_interferometer
تفسیرهای مکانیک کوانتومی,44,فیزیک,,,https://fa.wikipedia.org/wiki/%D8%AA%D9%81%D8%B3%DB%8C%D8%B1%D9%87%D8%A7%DB%8C_%D9%85%DA%A9%D8%A7%D9%86%DB%8C%DA%A9_%DA%A9%D9%88%D8%A7%D9%86%D8%AA%D9%88%D9%85%DB%8C,Interpretations of quantum mechanics,Physics,,,https://en.wikipedia.org/wiki/Interpretations_of_quantum_mechanics
تونل‌زنی کوانتومی,21,فیزیک,,,https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D9%84%E2%80%8C%D8%B2%D9%86%DB%8C_%DA%A9%D9%88%D8%A7%D9%86%D8%AA%D9%88%D9%85%DB%8C,Quantum tunnelling,Physics,,,https://en.wikipedia.org/wiki/Quantum_tunnelling
چهار سرعت,22,فیزیک,,,https://fa.wikipedia.org/wiki/%DA%86%D9%87%D8%A7%D8%B1_%D8%B3%D8%B1%D8%B9%D8%AA,Four-velocity,Physics,,,https://en.wikipedia.org/wiki/Four-velocity
چهار شتاب,16,فیزیک,,,https://fa.wikipedia.org/wiki/%DA%86%D9%87%D8%A7%D8%B1_%D8%B4%D8%AA%D8%A7%D8%A8,Four-acceleration,Physics,,,https://en.wikipedia.org/wiki/Four-acceleration
چهاربردار,27,فیزیک,,,https://fa.wikipedia.org/wiki/%DA%86%D9%87%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF%D8%A7%D8%B1,Four-vector,Physics,,,https://en.wikipedia.org/wiki/Four-vector
سامانه جرم‌متغیر,15,فیزیک,,,https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%85%D8%A7%D9%86%D9%87_%D8%AC%D8%B1%D9%85%E2%80%8C%D9%85%D8%AA%D8%BA%DB%8C%D8%B1,Variable-mass system,Physics,,,https://en.wikipedia.org/wiki/Variable-mass_system
مغناطیس,18,فیزیک,,,https://fa.wikipedia.org/wiki/%D9%85%D8%BA%D9%86%D8%A7%D8%B7%DB%8C%D8%B3,Magnetism,Physics,,,https://en.wikipedia.org/wiki/Magnetism
مغنامقاومت غولپیکر,58,فیزیک,,,https://fa.wikipedia.org/wiki/%D9%85%D8%BA%D9%86%D8%A7%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%AA_%D8%BA%D9%88%D9%84%D9%BE%DB%8C%DA%A9%D8%B1,Giant magnetoresistance,Physics,,,https://en.wikipedia.org/wiki/Giant_magnetoresistance
نور,28,فیزیک,,,https://fa.wikipedia.org/wiki/%D9%86%D9%88%D8%B1,Light,Physics,,,https://en.wikipedia.org/wiki/Light
ابن هیثم,22,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D9%87%DB%8C%D8%AB%D9%85,Ibn al-Haytham,Physics,Optics,,https://en.wikipedia.org/wiki/Ibn_al-Haytham
پراکنش (نورشناسی),16,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D8%A7%DA%A9%D9%86%D8%B4_(%D9%86%D9%88%D8%B1%D8%B4%D9%86%D8%A7%D8%B3%DB%8C),Dispersion (optics),Physics,Optics,,https://en.wikipedia.org/wiki/Dispersion_(optics)
پرتوهای گرداب نوری,16,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D8%AA%D9%88%D9%87%D8%A7%DB%8C_%DA%AF%D8%B1%D8%AF%D8%A7%D8%A8_%D9%86%D9%88%D8%B1%DB%8C,Optical vortex,Physics,Optics,,https://en.wikipedia.org/wiki/Optical_vortex
پرتو ایکس,25,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D8%AA%D9%88_%D8%A7%DB%8C%DA%A9%D8%B3,X-ray,Physics,Optics,,https://en.wikipedia.org/wiki/X-ray
تمام‌نگاری,16,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D8%AA%D9%85%D8%A7%D9%85%E2%80%8C%D9%86%DA%AF%D8%A7%D8%B1%DB%8C,Holography,Physics,Optics,,https://en.wikipedia.org/wiki/Holography
عکاسی,83,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D8%B9%DA%A9%D8%A7%D8%B3%DB%8C,Photography,Physics,Optics,,https://en.wikipedia.org/wiki/Photography
فوتو الاستیسیته,36,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D9%81%D9%88%D8%AA%D9%88_%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%DB%8C%D8%B3%DB%8C%D8%AA%D9%87,Photoelasticity,Physics,Optics,,https://en.wikipedia.org/wiki/Photoelasticity
فوتون,20,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D9%81%D9%88%D8%AA%D9%88%D9%86,Photon,Physics,Optics,,https://en.wikipedia.org/wiki/Photon
فوتونیک,17,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D9%81%D9%88%D8%AA%D9%88%D9%86%DB%8C%DA%A9,Photonics,Physics,Optics,,https://en.wikipedia.org/wiki/Photonics
فیبر نوری,20,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D9%81%DB%8C%D8%A8%D8%B1_%D9%86%D9%88%D8%B1%DB%8C,Optical fiber,Physics,Optics,,https://en.wikipedia.org/wiki/Optical_fiber
میدان نوری,15,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%AF%D8%A7%D9%86_%D9%86%D9%88%D8%B1%DB%8C,Light field,Physics,Optics,,https://en.wikipedia.org/wiki/Light_field
وضوح فضایی,20,فیزیک,فیزیک نور,,https://fa.wikipedia.org/wiki/%D9%88%D8%B6%D9%88%D8%AD_%D9%81%D8%B6%D8%A7%DB%8C%DB%8C,Angular resolution,Physics,Optics,,https://en.wikipedia.org/wiki/Angular_resolution
ثابت بی دررو,42,فیزیک,فیزیک پلاسما,,https://fa.wikipedia.org/wiki/%D8%AB%D8%A7%D8%A8%D8%AA_%D8%A8%DB%8C_%D8%AF%D8%B1%D8%B1%D9%88,Adiabatic invariant,Physics,Plasma physics,,https://en.wikipedia.org/wiki/Adiabatic_invariant
جذب لانداو,16,فیزیک,فیزیک پلاسما,,https://fa.wikipedia.org/wiki/%D8%AC%D8%B0%D8%A8_%D9%84%D8%A7%D9%86%D8%AF%D8%A7%D9%88,Landau damping,Physics,Plasma physics,,https://en.wikipedia.org/wiki/Landau_damping
معادله ولاسوف,39,فیزیک,فیزیک پلاسما,,https://fa.wikipedia.org/wiki/%D9%85%D8%B9%D8%A7%D8%AF%D9%84%D9%87_%D9%88%D9%84%D8%A7%D8%B3%D9%88%D9%81,Vlasov equation,Physics,Plasma physics,,https://en.wikipedia.org/wiki/Vlasov_equation
مگنتوهیدرودینامیک,25,فیزیک,فیزیک پلاسما,,https://fa.wikipedia.org/wiki/%D9%85%DA%AF%D9%86%D8%AA%D9%88%D9%87%DB%8C%D8%AF%D8%B1%D9%88%D8%AF%DB%8C%D9%86%D8%A7%D9%85%DB%8C%DA%A9,Magnetohydrodynamics,Physics,Plasma physics,,https://en.wikipedia.org/wiki/Magnetohydrodynamics
شتاب‌دهنده ذرات,23,فیزیک,فیزیک هسته‌ای,,https://fa.wikipedia.org/wiki/%D8%B4%D8%AA%D8%A7%D8%A8%E2%80%8C%D8%AF%D9%87%D9%86%D8%AF%D9%87_%D8%B0%D8%B1%D8%A7%D8%AA,Particle accelerator,Physics,Nuclear physics,,https://en.wikipedia.org/wiki/Particle_accelerator
نوکلید,22,فیزیک,فیزیک هسته‌ای,,https://fa.wikipedia.org/wiki/%D9%86%D9%88%DA%A9%D9%84%DB%8C%D8%AF,Nuclide,Physics,Nuclear physics,,https://en.wikipedia.org/wiki/Nuclide
ژئومورفولوژی,61,فیزیک,گرانش,,https://fa.wikipedia.org/wiki/%DA%98%D8%A6%D9%88%D9%85%D9%88%D8%B1%D9%81%D9%88%D9%84%D9%88%DA%98%DB%8C,Geomorphology,Physics,Gravity,,https://en.wikipedia.org/wiki/Geomorphology
قانون جهانی گرانش نیوتن,19,فیزیک,گرانش,,https://fa.wikipedia.org/wiki/%D9%82%D8%A7%D9%86%D9%88%D9%86_%D8%AC%D9%87%D8%A7%D9%86%DB%8C_%DA%AF%D8%B1%D8%A7%D9%86%D8%B4_%D9%86%DB%8C%D9%88%D8%AA%D9%86,Newton%27s law of universal gravitation,Physics,Gravity,,https://en.wikipedia.org/wiki/Newton%27s_law_of_universal_gravitation
کرم‌چاله,15,فیزیک,گرانش,,https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%D9%85%E2%80%8C%DA%86%D8%A7%D9%84%D9%87,Wormhole,Physics,Gravity,,https://en.wikipedia.org/wiki/Wormhole
گربه شرودینگر,20,فیزیک,مکانیک کوانتم,اندازه‌گیری کوانتومی,https://fa.wikipedia.org/wiki/%DA%AF%D8%B1%D8%A8%D9%87_%D8%B4%D8%B1%D9%88%D8%AF%DB%8C%D9%86%DA%AF%D8%B1,Schr%C3%B6dinger%27s cat,Physics,Quantum mechanics,Quantum measurement,https://en.wikipedia.org/wiki/Schr%C3%B6dinger%27s_cat
توزیع کلید کوانتومی,24,فیزیک,مکانیک کوانتم,علوم اطلاعات کوانتومی,https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D8%B2%DB%8C%D8%B9_%DA%A9%D9%84%DB%8C%D8%AF_%DA%A9%D9%88%D8%A7%D9%86%D8%AA%D9%88%D9%85%DB%8C,Quantum key distribution,Physics,Quantum mechanics,Quantum information science,https://en.wikipedia.org/wiki/Quantum_key_distribution
رایانش کوانتومی,23,فیزیک,مکانیک کوانتم,علوم اطلاعات کوانتومی,https://fa.wikipedia.org/wiki/%D8%B1%D8%A7%DB%8C%D8%A7%D9%86%D8%B4_%DA%A9%D9%88%D8%A7%D9%86%D8%AA%D9%88%D9%85%DB%8C,Quantum computing,Physics,Quantum mechanics,Quantum information science,https://en.wikipedia.org/wiki/Quantum_computing
